,est_hidden_layer_sizes,cv_mean,cv_std,size,accuracy,combs
0,"(8, 7)",0.7915142802982433,0.009005993814603798,6,0.7628,"['NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag']"
1,"(8, 6)",0.7889544383404822,0.008818497441730067,7,0.761,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
2,"(8, 7)",0.7890763895599944,0.008175883408944437,5,0.7534,"['NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag']"
3,"(9, 7)",0.7890155254569918,0.008273926144852992,6,0.7624,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag']"
4,"(7, 7)",0.7883445521517086,0.00833315111422182,5,0.7576,"['NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket']"
5,"(8, 5)",0.7886497089673731,0.00785396877993729,6,0.7584,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag']"
6,"(7, 7)",0.7888325614588056,0.00840278819699405,6,0.7612,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
7,"(11, 7)",0.791270935392987,0.007909975766139351,8,0.7608,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
8,"(5, 4)",0.7877348889764424,0.005674055863866992,5,0.7616,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket']"
9,"(10, 6)",0.7891981921038351,0.007772463545856164,7,0.762,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag']"
10,"(9, 7)",0.7888935370685617,0.008791871452858526,6,0.7568,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag']"
11,"(7, 7)",0.7882835765419525,0.005218852071206725,6,0.7648,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag']"
12,"(11, 5)",0.7866378111967648,0.007218890971040028,7,0.7624,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
13,"(10, 8)",0.7945623545766088,0.007262340843893275,7,0.7586,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag']"
14,"(7, 7)",0.7885886404353224,0.010611088525465896,6,0.759,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket']"
15,"(8, 5)",0.7851140342400071,0.009881559287284281,5,0.761,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'AgeBracket']"
16,"(10, 5)",0.7878570446250028,0.00807605278518176,7,0.7672,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag']"
17,"(7, 4)",0.7822488124530743,0.007589281522554215,5,0.7544,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType']"
18,"(9, 9)",0.7901123244697853,0.00820281878239568,7,0.7632,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
19,"(11, 7)",0.7901735602619666,0.008718926557837051,8,0.761,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
20,"(8, 8)",0.7899906334326983,0.00878656934145942,6,0.7588,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'Income', 'AgeBracket']"
21,"(7, 7)",0.7835287613086432,0.0066979896574629735,5,0.7512,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType']"
22,"(8, 3)",0.7826147218649876,0.009321367189823593,5,0.7592,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket']"
23,"(10, 6)",0.79011241739208,0.008887647504960728,8,0.7624,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'Income', 'AgeBracket', 'ChildrenFlag']"
24,"(6, 4)",0.782553894930903,0.010738096789721895,4,0.7642,"['NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket']"
25,"(12, 11)",0.7902952884679715,0.006902805507109249,9,0.773,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
26,"(12, 8)",0.7877352234967032,0.008583547212126761,8,0.754,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
27,"(11, 9)",0.7896858854751303,0.007701223151360278,8,0.754,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'Country', 'AgeBracket', 'ChildrenFlag']"
28,"(6, 4)",0.7787130448034135,0.00760096602150501,4,0.7468,"['NumberChildrenAtHome', 'Married', 'EducationType', 'AgeBracket']"
29,"(10, 7)",0.7885885846819456,0.009421353364631572,9,0.767,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
30,"(5, 5)",0.7800537834241494,0.0060312488957246484,4,0.7522,"['NumberChildrenAtHome', 'Married', 'Income', 'AgeBracket']"
31,"(6, 5)",0.777067223704849,0.00835601940700839,4,0.7604,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married']"
32,"(13, 11)",0.7886491886025231,0.007750640538717354,9,0.7592,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
33,"(10, 8)",0.7925507355728846,0.006508593283655476,9,0.768,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
34,"(3, 3)",0.7754216627887096,0.010725374202543828,3,0.7532,"['NumberChildrenAtHome', 'Sex', 'Married']"
35,"(5, 4)",0.7734704804454323,0.00822454372150301,3,0.7408,"['NumberChildrenAtHome', 'Married', 'Income']"
36,"(5, 2)",0.77347051761435,0.009543281409891717,3,0.7282,"['NumberChildrenAtHome', 'Married', 'EducationType']"
37,"(3, 3)",0.7754822667092871,0.0087506930705311,3,0.7428,"['NumberChildrenAtHome', 'Married', 'AgeBracket']"
38,"(13, 11)",0.7877960875997057,0.006533093454130032,10,0.7654,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
39,"(15, 9)",0.791392626430074,0.00929764621158277,10,0.7634,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
40,"(15, 13)",0.789929973758744,0.008415649228666203,10,0.7642,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
41,"(15, 12)",0.7917585544264464,0.006930237455199418,10,0.764,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
42,"(3, 3)",0.7532934448896454,0.0436062053013882,2,0.7304,"['NumberChildrenAtHome', 'AgeBracket']"
43,"(3, 2)",0.7715807383233845,0.007508164246988988,2,0.6986,"['NumberChildrenAtHome', 'Married']"
44,"(3, 3)",0.750855126708841,0.03840175652253157,2,0.722,"['NumberChildrenAtHome', 'Sex']"
45,"(2, 2)",0.7682887616059947,0.006751970016657116,2,0.6662,"['NumberChildrenAtHome', 'EducationType']"
46,"(17, 12)",0.7893808029973015,0.004471711784437148,11,0.7754,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
47,"(2, 2)",0.699948855569019,0.04461450698376556,1,0.7308,['NumberChildrenAtHome']
48,"(13, 13)",0.7906611049575902,0.007565020988021999,11,0.765,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
49,"(15, 13)",0.7899295834851064,0.006457109748150814,11,0.7642,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
50,"(14, 11)",0.7895635439819805,0.006151296516155169,11,0.7616,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
51,"(16, 11)",0.7896856252927054,0.008270734062267231,12,0.77,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
52,"(2, 2)",0.6762365727284216,0.01696350821920297,1,0.6662,['NumberCarsOwned']
53,"(2, 1)",0.6677025891868185,0.008667558943687984,1,0.6662,['Income']
54,"(1, 1)",0.6677025891868185,0.008667558943687984,1,0.6662,['HomeOwnerFlag']
55,"(11, 10)",0.7888325614588056,0.00896130460920057,9,0.765,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
56,"(8, 7)",0.7885275904877306,0.006427861084617051,8,0.7614,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
57,"(9, 6)",0.789746656655838,0.005980542320186512,8,0.7666,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
58,"(13, 8)",0.7921855881237874,0.012046443660449251,10,0.7712,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
59,"(12, 8)",0.7893200689855115,0.0066638219006828585,9,0.7564,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
60,"(11, 7)",0.7870035719330067,0.00803134536511941,8,0.7576,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
61,"(13, 9)",0.7902345358717225,0.008606642765481315,9,0.7652,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
62,"(11, 10)",0.7884667821381048,0.011229904204893311,8,0.7666,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
63,"(10, 8)",0.7920632652150965,0.008127049231612012,7,0.7566,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag']"
64,"(11, 8)",0.7869426892455453,0.008830739890294398,7,0.763,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag']"
65,"(12, 12)",0.7930997019052788,0.008425467213051017,9,0.7618,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag']"
66,"(10, 8)",0.7870646032961396,0.00802080534180181,7,0.7644,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag']"
67,"(13, 8)",0.7862723106429479,0.008795735689029343,9,0.7654,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
68,"(12, 9)",0.7851748611740917,0.008028480047395545,8,0.7586,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag']"
69,"(7, 7)",0.789502958645862,0.008354028618237953,7,0.7636,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'Income', 'AgeBracket']"
70,"(12, 6)",0.7903562640777276,0.005697382726348528,8,0.7594,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag']"
71,"(10, 6)",0.7870035347640889,0.005742003918746437,7,0.7696,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Income', 'AgeBracket']"
72,"(10, 6)",0.7895029214769441,0.005102241774382431,8,0.762,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag']"
73,"(6, 6)",0.7880397670252228,0.005858307848146748,6,0.7628,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Income', 'AgeBracket']"
74,"(13, 11)",0.7868816950513302,0.007459298899863024,9,0.757,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'Country', 'Income', 'AgeBracket']"
75,"(12, 12)",0.7882223593342303,0.007834039433548858,10,0.7622,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag']"
76,"(14, 7)",0.792063395306309,0.007312749878310676,10,0.7644,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
77,"(12, 7)",0.787735000483196,0.005503771946694358,10,0.7688,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
78,"(8, 7)",0.7766405245277689,0.006808682062031207,5,0.7446,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'AgeBracket', 'ChildrenFlag']"
79,"(8, 7)",0.7801150935541663,0.009480775415261995,5,0.7564,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'ChildrenFlag']"
80,"(6, 4)",0.7768233398502836,0.0062621081844596955,4,0.7398,"['NumberChildrenAtHome', 'Married', 'Country', 'AgeBracket']"
81,"(6, 3)",0.7768843897978754,0.007703235696038097,4,0.7274,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'AgeBracket']"
82,"(5, 5)",0.774933263207975,0.006592931368646389,4,0.7524,"['NumberChildrenAtHome', 'AreaCode', 'Married', 'AgeBracket']"
83,"(4, 4)",0.7738974398049376,0.009427468691408826,4,0.7478,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Married', 'AgeBracket']"
84,"(14, 11)",0.7895031444904512,0.007493667168378877,11,0.7702,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
85,"(5, 4)",0.7719463317994959,0.006070856646109734,3,0.721,"['NumberChildrenAtHome', 'Sex', 'AgeBracket']"
86,"(5, 4)",0.7715806825700078,0.010098917316425343,3,0.7348,"['NumberChildrenAtHome', 'AreaCode', 'Married']"
87,"(5, 2)",0.7729217928799221,0.007892650510166126,3,0.7428,"['NumberChildrenAtHome', 'Married', 'ChildrenFlag']"
88,"(3, 3)",0.7656062808037407,0.0073272769164375905,2,0.7238,"['NumberChildrenAtHome', 'Income']"
89,"(1, 1)",0.6677025891868185,0.008667558943687984,1,0.6662,['JobType']
90,"(1, 1)",0.6677025891868185,0.008667558943687984,1,0.6662,['Married']
91,"(12, 10)",0.7918803569702872,0.007831987671480784,9,0.7734,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
92,"(13, 7)",0.7921239248890508,0.006695279758242279,10,0.766,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
93,"(15, 13)",0.7918193070226953,0.008185875333414798,10,0.7664,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
94,"(12, 8)",0.7886493558626533,0.006507970097687573,9,0.7588,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
95,"(11, 9)",0.790783186268315,0.007286064642724946,8,0.7604,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
96,"(10, 5)",0.788893183963842,0.0081212626321023,7,0.7592,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket']"
97,"(12, 8)",0.7873693512537076,0.005136207357447577,11,0.7604,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
98,"(13, 11)",0.7906002780235056,0.007811923538868672,9,0.7644,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
99,"(11, 7)",0.7899297321607779,0.009191199725323023,9,0.7716,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
100,"(12, 6)",0.7914539737290089,0.009467518763263313,9,0.7636,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
101,"(15, 11)",0.7916364359468039,0.003717072441547539,10,0.7632,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
102,"(12, 11)",0.7917582199061857,0.004103351240225157,10,0.7624,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
103,"(10, 10)",0.7925507913262614,0.005561644449250163,8,0.7598,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
104,"(12, 6)",0.7918802082946157,0.0065295361781962016,8,0.7574,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag']"
105,"(10, 9)",0.7891370864028664,0.00615684257129108,8,0.7562,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket']"
106,"(15, 8)",0.7884666520468924,0.007223630121546834,11,0.767,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
107,"(8, 8)",0.790539451089421,0.00717991694573398,6,0.7588,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket']"
108,"(11, 6)",0.7912097367697237,0.007760843606293015,7,0.755,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Income', 'AgeBracket', 'ChildrenFlag']"
109,"(10, 7)",0.7877352606656209,0.009886402318211604,7,0.7654,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket']"
110,"(7, 7)",0.7859059180351023,0.006068534468334035,6,0.7624,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket']"
111,"(6, 5)",0.778042461771768,0.006628358081883663,4,0.7624,"['NumberChildrenAtHome', 'Married', 'JobType', 'AgeBracket']"
112,"(3, 3)",0.76310698701318,0.0060347084585516495,2,0.7218,"['NumberChildrenAtHome', 'JobType']"
113,"(1, 1)",0.6677025891868185,0.008667558943687984,1,0.6662,['EducationType']
