,Unnamed: 0,size,accuracy,combs
3946,3946,9,0.7832749999999999,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag')"
3572,3572,8,0.7830999999999999,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
3781,3781,8,0.782975,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag')"
4028,4028,10,0.782975,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag')"
3242,3242,7,0.78295,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
3811,3811,9,0.7829,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
3763,3763,8,0.782875,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag')"
3973,3973,9,0.78285,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag')"
3646,3646,8,0.7827,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
3050,3050,7,0.782675,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag')"
3526,3526,8,0.782525,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
3190,3190,7,0.7825249999999999,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag')"
3860,3860,9,0.7825,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag')"
3245,3245,7,0.7825,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag')"
3928,3928,9,0.782475,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag')"
3575,3575,8,0.782475,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag')"
3188,3188,7,0.7824500000000001,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'Income', 'AgeBracket')"
2378,2378,6,0.782425,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag')"
2384,2384,6,0.7824,"('NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
3695,3695,8,0.782375,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag')"
2838,2838,7,0.78235,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Income', 'AgeBracket')"
3520,3520,8,0.782325,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag')"
2376,2376,6,0.78225,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Income', 'AgeBracket')"
3922,3922,9,0.782225,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'Country', 'Income', 'AgeBracket')"
4008,4008,9,0.782225,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag')"
4063,4063,10,0.782025,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag')"
2382,2382,6,0.7818750000000001,"('NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'Income', 'AgeBracket')"
4024,4024,10,0.78175,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag')"
4066,4066,10,0.7817000000000001,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag')"
4021,4021,10,0.78095,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
1403,1403,5,0.7809250000000001,"('NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag')"
4084,4084,11,0.78075,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag')"
1396,1396,5,0.780625,"('NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'AgeBracket')"
1186,1186,5,0.7798,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'AgeBracket', 'ChildrenFlag')"
1397,1397,5,0.779775,"('NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'ChildrenFlag')"
642,642,4,0.7796000000000001,"('NumberChildrenAtHome', 'Married', 'Country', 'AgeBracket')"
482,482,4,0.7796,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married', 'AgeBracket')"
594,594,4,0.779575,"('NumberChildrenAtHome', 'AreaCode', 'Married', 'AgeBracket')"
362,362,4,0.779575,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Married', 'AgeBracket')"
197,197,3,0.77935,"('NumberChildrenAtHome', 'Married', 'AgeBracket')"
4087,4087,11,0.777825,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag')"
4092,4092,11,0.777825,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag')"
191,191,3,0.7771,"('NumberChildrenAtHome', 'Sex', 'AgeBracket')"
4093,4093,11,0.77695,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag')"
4094,4094,12,0.77685,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag')"
35,35,2,0.776625,"('NumberChildrenAtHome', 'Married')"
179,179,3,0.776625,"('NumberChildrenAtHome', 'AreaCode', 'Married')"
198,198,3,0.776625,"('NumberChildrenAtHome', 'Married', 'ChildrenFlag')"
34,34,2,0.77585,"('NumberChildrenAtHome', 'Sex')"
39,39,2,0.7680750000000001,"('NumberChildrenAtHome', 'Income')"
37,37,2,0.7643,"('NumberChildrenAtHome', 'EducationType')"
2,2,1,0.7573000000000001,"('NumberChildrenAtHome',)"
1,1,1,0.6917,"('NumberCarsOwned',)"
6,6,1,0.67255,"('JobType',)"
5,5,1,0.67255,"('Married',)"
